system:index,Class,Image,mod_area,mod_bgr_post,mod_bgr_pre,rap_area,rap_bgr_post,rap_bgr_pre,.geo
0000000000000000114d_0000000000000000114d,1,1,2490.558111387864,1706.1063570834572,1730.5634870398221,2488.575143463298,778.6152624127051,786.4226247582124,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000114e_0000000000000000114e,1,1,2488.882176985306,997.2474390857953,1023.8763728071427,2484.912876645122,232.8353101920039,233.72994188322275,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000114f_0000000000000000114f,1,1,2489.554349169735,1525.1564807206373,1557.4822585621957,2487.6608293366526,739.6016924410964,817.9053031223233,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001150_00000000000000001150,1,1,2489.945012850797,2253.907075674354,2249.5842930408517,2488.084174500041,1691.5818369558956,1747.9709540766867,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001151_00000000000000001151,1,1,2491.497459077812,1453.9909520709293,1231.4653333792403,2487.679241046495,298.9082730672486,318.0405126474043,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001152_00000000000000001152,1,1,2496.3553522855386,789.5216659446387,744.8564014000106,2494.423337719402,136.9596161642465,143.29425181455184,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001153_00000000000000001153,1,1,2491.652461452192,1009.0254747827697,1107.5680446618044,2487.813590193278,333.484909570027,409.7244605356931,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001154_00000000000000001154,1,1,2492.385741426165,832.0270750196728,838.7354709145477,2488.6117623809114,427.6459336345713,549.7566391049593,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001155_00000000000000001155,1,1,2494.941485856311,728.7466798806431,774.6913425136903,2493.065499045765,113.7642252799578,103.56643751007186,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001156_00000000000000001156,1,1,2489.9848554656933,1863.9972821960498,1805.882140114704,2487.9601397169417,373.9479104590179,359.69013567466834,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001157_00000000000000001157,1,1,2494.7843171354107,766.9937731600648,810.4686814041808,2492.7498942327725,286.3048179659006,381.6220582516216,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001158_00000000000000001158,1,1,2489.667961766251,1800.8177880438575,1809.8213812291224,2485.8181259737335,457.2335620609478,429.80773021273217,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001159_00000000000000001159,1,1,2489.5592975275636,785.017993715797,1264.0693751521433,2487.3952606493267,325.93456127171766,605.6295196219953,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000115a_0000000000000000115a,1,1,2488.8199891406066,2284.7079767520895,2297.856501954596,2486.9134085991996,1424.6651661068388,1437.0138845867546,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000115b_0000000000000000115b,1,1,2476.5530764904966,1501.8861252266759,1518.2407507848657,2488.9521496490615,928.5744866011748,900.4932530897848,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000115c_0000000000000000115c,1,1,2495.325253086697,800.3314227826988,887.679114702494,2491.437814729783,275.19631328797266,410.1800480196771,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000115d_0000000000000000115d,1,1,2490.2314835952848,1640.7329189848917,1630.5812239561635,2488.2257842994195,1050.6983033919664,1195.8893804540514,"{""type"":""MultiPoint"",""coordinates"":[]}"
